App 이름,카테고리
Mercado Pago: cuenta digital,Finance
SUBE,Travel & Local
Level Devil - NOT A Troll Game,Games > Action
Naranja X: tu plata crece,Finance
"Threads, an Instagram app",Social
Luzia: Your AI Assistant,Entertainment
Buepp,Finance
WhatsApp Messenger,Communication
TikTok,Social
"Max: Stream HBO, TV, & Movies",Entertainment
ChatGPT,Productivity
Mercado Libre: Compras online,Shopping
CapCut - Video Editor,Video Players & Editors
World App - Worldcoin Wallet,Finance
Instagram,Social
Telegram,Communication
Uber - Request a ride,Maps & Navigation
Mi Argentina,Productivity
MODO: Conectá tu dinero,Finance
Carrefour Argentina,Shopping
Instagram Lite,Social
Duolingo: Language Lessons,Education
BNA+,Finance
"Canva: Design, Art & AI Editor",Art & Design
Spotify: Music and Podcasts,Music & Audio
Personal Pay Billetera Virtual,Finance
Copa America Panini Collection,Games > Sports
Star+,Entertainment
Pizza Ready!,Games > Simulation
Mi Personal Flow,Communication
argentina tv futboll en vivo,Entertainment
Pinterest,Lifestyle
Block Blast!,Games > Puzzle
Roblox,Games > Adventure
Galicia - El banco en tu celu,Finance
Facebook Lite,Social
Free Fire,Games > Action
Binance: Buy Bitcoin & Crypto,Finance
UpStudy - Camera Math Solver,Education
Mi AFIP,Tools
Noticias Locales,News & Magazines
Royal Match,Games > Puzzle
Moto Wheelie 3D,Games > Simulation
Brawl Stars,Games > Action
Facebook,Social
PDF Reader - PDF Viewer,Productivity
Lark Player:Music Player & MP3,Music & Audio
Piano Pink Tiles,Games > Music
Kick: Live Streaming,Entertainment
Mi Movistar Argentina,Communication
