App 이름,카테고리
SPAR,Shopping
Temu: Shop Like a Billionaire,Shopping
Digitales Amt,Tools
Samsung Smart Switch Mobile,Tools
Wörter Aus-Lustiges Worträtsel,Games > Word
Plant Parent: Plant Care Guide,Lifestyle
Brawl Stars,Games > Action
Action,Shopping
George Österreich,Finance
Google Wallet,Finance
"PAYBACK - Coupons, Karte, mehr",Shopping
ChatGPT,Productivity
SHEIN-Shopping Online,Shopping
eAusweise,Tools
TikTok,Social
WhatsApp Messenger,Communication
Mein Magenta (AT),Finance
QR & Barcode Reader,Productivity
Lidl Plus,Shopping
"Threads, an Instagram app",Social
willhaben,Shopping
Instagram,Social
CapCut - Video Editor,Video Players & Editors
Telegram,Communication
jö,Shopping
QR & Barcode Scanner,Tools
Microsoft Teams,Business
Mein dm,Shopping
Microsoft Authenticator,Business
Duolingo: Language Lessons,Education
Match Factory!,Games > Puzzle
Too Good To Go: End Food Waste,Food & Drink
"Wood Nuts & Bolts, Screw",Games > Puzzle
PDF Reader - PDF Viewer,Productivity
C&A Fashion Online Shop,Shopping
Pizza Ready!,Games > Simulation
Snapchat,Communication
Screw Puzzle: Wood Nut & Bolt,Games > Puzzle
Zoom Workplace,Business
Google Translate,Tools
Last War:Survival Game,Games > Strategy
Royal Match,Games > Puzzle
Müller,Shopping
JOYN Österreichs SuperStreamer,Entertainment
Post - Parcel Tracking App,Productivity
Microsoft Edge: AI browser,Communication
McDonald's,Food & Drink
Klarna | Shop now. Pay later.,Shopping
ÖBB Scotty,Maps & Navigation
Vinted - Buy and sell clothes,Shopping
