App 이름,카테고리
Nar+,Lifestyle
Temu: Shop Like a Billionaire,Shopping
Birbank,Finance
Health Tracker,Health & Fitness
TikTok,Social
Umico: Online Shopping App,Shopping
Instagram,Social
m10 — Digital Wallet,Finance
QR Scanner - Barcode Reader,Productivity
Trendyol - Online Alışveriş,Shopping
Subway Surfers,Games > Arcade
Getcontact,Communication
WhatsApp Business,Communication
CapCut - Video Editor,Video Players & Editors
Bakcell,Lifestyle
Snapchat,Communication
SİMA - Rəqəmsal İmza,Business
Telegram,Communication
WhatsApp Messenger,Communication
Photomath,Education
AirBrush - AI Photo Editor,Photography
TikTok Lite - Save Data,Social
Pizza Ready!,Games > Simulation
ABB - Mobile,Finance
ويبلاي - ألعاب ودردشة,Entertainment
Azercell Kabinetim,Business
Bolt: Request a Ride,Maps & Navigation
Car Race 3D: Car Racing,Games > Racing
Roblox,Games > Adventure
Grand Mobile - гонки и суета,Games > Simulation
Brawl Stars,Games > Action
AZPULMAT,Finance
PUBG MOBILE,Games > Action
Leobank - mobil bank,Finance
Status Saver - Video Saver,Social
Instagram Lite,Social
Pinterest,Lifestyle
Build A Car: Car Racing,Games > Simulation
Music Player & MP3 - DDMusic,Music & Audio
Smart Customs,Travel & Local
Bubble Shooter Family,Games > Puzzle
"Wood Nuts & Bolts, Screw",Games > Puzzle
Kick the Buddy: Second Kick,Games > Action
Video Editor & Maker - InShot,Photography
TopTop: Games&Chat,Social
Waze Navigation & Live Traffic,Maps & Navigation
Turbo.az – onlayn maşın bazarı,Auto & Vehicles
Gangs Wars: Pixel Shooter RP,Games > Action
Granny,Games > Arcade
Snake Clash!,Games > Arcade
