App 이름,카테고리
ФСЗН,Finance
"OZON: товары, одежда, билеты",Shopping
Wildberries,Shopping
Word Search - Evolution Puzzle,Games > Word
Telegram,Communication
Cryptogram Words Master,Games > Word
M-Belarusbank,Finance
"Куфар: товары, квартиры, авто",Shopping
WePlay: Играй и Общайся!,Entertainment
Blood Pressure App,Health & Fitness
21vek.by,Shopping
TikTok,Social
INSNC Belarus: Mobile bank,Finance
TikTok Lite - Save Data,Social
Tower War - Tactical Conquest,Games > Arcade
Pizza Ready!,Games > Simulation
BLACK RUSSIA,Games > Role Playing
Franz: Scary Interactive Story,Games > Simulation
WhatsApp Messenger,Communication
VPN - Super Unlimited Proxy,Tools
Rapid VPN - Safe Secure Proxy,Tools
Rakuten Viber Messenger,Communication
Skizz - Lockscreen Drawing,Personalization
Yandex Maps and Navigator,Maps & Navigation
VPN - fast secure vpn proxy,Tools
Health Tracker,Health & Fitness
Instagram,Social
Мой МТС (Беларусь),Communication
CapCut - Video Editor,Video Players & Editors
"VK: music, video, messenger",Social
Satisdom,Games > Puzzle
Мой А1,Communication
Grand Mobile - гонки и суета,Games > Simulation
Little Hero: Survival.io,Games > Action
"Wood Nuts & Bolts, Screw",Games > Puzzle
Roblox,Games > Adventure
Yandex Go — taxi and delivery,Maps & Navigation
QR & Barcode Scanner,Tools
Pinterest,Lifestyle
Belagroprombank,Finance
Craft Box Game Tree,Games > Simulation
Block Blast!,Games > Puzzle
Dodo Pizza,Food & Drink
Мой life:),Communication
Screw Puzzle: Wood Nut & Bolt,Games > Puzzle
Free VPN Proxy by Planet VPN,Productivity
Multi Shooter in Sandbox Mods,Games > Action
Doomsday: Last Survivors,Games > Strategy
Instagram Lite,Social
"Yandex Music, Books & Podcasts",Music & Audio
