App 이름,카테고리
ten ten,Social
Temu: Shop Like a Billionaire,Shopping
Plant Parent: Plant Care Guide,Lifestyle
Brawl Stars,Games > Action
Remini - AI Photo Enhancer,Photography
Microsoft Edge: AI browser,Communication
Zen Word® - Relax Puzzle Game,Games > Word
SHEIN-Shopping Online,Shopping
Xtra,Shopping
"Threads, an Instagram app",Social
ChatGPT,Productivity
My bpost,Productivity
Lidl Plus,Shopping
Pizza Ready!,Games > Simulation
WhatsApp Messenger,Communication
Duolingo: Language Lessons,Education
CapCut - Video Editor,Video Players & Editors
itsme,Finance
Waze Navigation & Live Traffic,Maps & Navigation
TikTok,Social
Social Deal - The best deals,Travel & Local
Samsung Smart Switch Mobile,Tools
Microsoft Authenticator,Business
Instagram,Social
Match Factory!,Games > Puzzle
Google Wallet,Finance
Microsoft Teams,Business
Telegram,Communication
Health Kit,Health & Fitness
Easy Banking App,Finance
Snapchat,Communication
QR & Barcode Scanner,Tools
Hexa Sort,Games > Puzzle
Payconiq by Bancontact,Finance
PDF Reader - PDF Viewer,Productivity
Block Blast!,Games > Puzzle
Helena,Health & Fitness
Action,Shopping
Google Translate,Tools
QR & Barcode Reader,Productivity
Booking.com: Hotels & Travel,Travel & Local
Too Good To Go: End Food Waste,Food & Drink
Amazon Shopping,Shopping
Messenger,Communication
Royal Match,Games > Puzzle
Proximus+,Tools
Screw Puzzle: Wood Nut & Bolt,Games > Puzzle
Pinterest,Lifestyle
Klarna | Shop now. Pay later.,Shopping
SNCB/NMBS: Timetable & tickets,Travel & Local
