App 이름,카테고리
WhatsApp Messenger,Communication
Google Chrome,Communication
Instagram,Social
YouTube,Video Players & Editors
Google,Tools
Facebook,Social
TikTok,Social
Gmail,Communication
"Nubank: conta, cartão e mais",Finance
Google Photos,Photography
Samsung One UI Home,Personalization
Google Play services,Tools
Google Maps,Travel & Local
Spotify: Music and Podcasts,Music & Audio
Kwai - download & share video,Video Players & Editors
Google Drive,Productivity
Phone by Google,Tools
Messenger,Communication
Clock,Tools
WhatsApp Business,Communication
Clock,Tools
Mercado Libre: Compras online,Shopping
Shopee: 5.5 Moda e Beleza,Shopping
CAIXA,Finance
Netflix,Entertainment
Banco do Brasil: abrir conta,Finance
Calculator,Tools
Samsung Calculator,Tools
YouTube Music,Music & Audio
Telegram,Communication
"Bradesco: Conta, Cartão e Pix!",Finance
Google Messages,Communication
Pinterest,Lifestyle
Uber - Request a ride,Maps & Navigation
Facebook Lite,Social
"Banco Itaú: Conta, Cartão e +",Finance
Samsung Calendar,Productivity
Mi Wallpaper Carousel,Personalization
X,Social
Samsung Internet Browser,Communication
App Vault,Tools
Calculator,Tools
Google Calendar,Productivity
"PicPay: cartão, conta e pix",Finance
Moto Camera 3,Photography
SHEIN-Shopping Online,Shopping
Mercado Pago: cuenta digital,Finance
99 - Private Driver and Taxi,Maps & Navigation
Santander Brasil,Finance
iFood comida e mercado em casa,Food & Drink
