App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
Edenred+,Finance
Atfarm,Business
Econt,Business
Up Tombou,Finance
Zen Word® - Relax Puzzle Game,Games > Word
ten ten,Social
TikTok,Social
SHEIN-Shopping Online,Shopping
TunnelBear VPN,Tools
WhatsApp Messenger,Communication
Lidl Plus,Shopping
Rakuten Viber Messenger,Communication
ABOUT YOU Online Fashion Shop,Shopping
Health Tracker,Health & Fitness
ABOUT YOU Outlet,Shopping
Brawl Stars,Games > Action
Hexa Sort,Games > Puzzle
Pluxee,Food & Drink
Telegram,Communication
Instagram,Social
Messenger,Communication
Waze Navigation & Live Traffic,Maps & Navigation
CapCut - Video Editor,Video Players & Editors
eMAG.bg,Shopping
Sinsay - moda i zakupy online,Shopping
Pizza Ready!,Games > Simulation
"Revolut: Spend, Save, Trade",Finance
Calming Crosswords Word Puzzle,Games > Word
Google Wallet,Finance
QR & Barcode Scanner,Tools
"Threads, an Instagram app",Social
Evrotrust,Business
Facebook,Social
Piano Pink Tiles,Games > Music
Race Master 3D - Car Racing,Games > Racing
Yettel Bulgaria,Communication
Subway Surfers,Games > Arcade
"Wood Nuts & Bolts, Screw",Games > Puzzle
DSK Smart,Finance
My A1,Productivity
Snapchat,Communication
TickTock-TikTok Live Wallpaper,Tools
tbi bank,Finance
UBB Mobile,Finance
Tower War - Tactical Conquest,Games > Arcade
Google Translate,Tools
Fashion Days - online shopping,Shopping
Samsung Smart Switch Mobile,Tools
My VIVACOM,Communication
