App 이름,카테고리
Telegram,Communication
ACLEDA mobile,Finance
Facebook,Social
Messenger,Communication
ABA Mobile,Finance
Mobile Legends: Bang Bang,Games > Action
CapCut - Video Editor,Video Players & Editors
TikTok,Video Players & Editors
TikTok Lite - Save Data,Social
SmartNas,Productivity
Left or right: Magic Dress up,Games > Casual
ខ្លាឃ្លោក - khla khlouk 2024,Games > Board
Free Fire,Games > Action
Google Translate,Tools
Pleng,Music & Audio
Facebook Lite,Social
Car Race 3D: Car Racing,Games > Racing
Wing Bank,Finance
Stickman Party 2 3 4 MiniGames,Games > Arcade
Instagram,Social
Khmer Lunar Calendar,Lifestyle
QR & Barcode Scanner,Tools
8 Ball Pool,Games > Sports
Honor of Kings,Games > Action
LengBear 777 - Khmer Games,Games > Cards
Mega 999,Games > Arcade
Free Fire MAX,Games > Action
"Moto Rider, Bike Racing Game",Games > Racing
Arm Wrestling Clicker,Games > Simulation
OmeTV – Video Chat Alternative,Social
Bigo Live - Live Streaming App,Social
TV360 by Metfone,Entertainment
Naga Fishing World,Games > Arcade
Temple Run 2,Games > Action
Tien Len - Southern Poker,Games > Cards
SAKURA School Simulator,Games > Simulation
TrueMoney Cambodia,Finance
Worms Zone .io - Hungry Snake,Games > Action
Subway Surfers,Games > Arcade
Mega Fishing Hunter,Games > Arcade
Pizza Ready!,Games > Simulation
PassApp - Transport & Delivery,Maps & Navigation
Daily Weather,Weather
Roblox,Games > Adventure
ល្បែងខ្លាឃ្លោកថ្មី - Kla Klouk,Games > Casino
Eyes Horror & Coop Multiplayer,Games > Adventure
Proxy Browser,Tools
WhatsApp Messenger,Communication
Candy Crush Saga,Games > Casual
My Talking Tom,Games > Casual
