App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
"Max: Stream HBO, TV, & Movies",Entertainment
World App - Worldcoin Wallet,Finance
TikTok,Social
WhatsApp Messenger,Communication
ChatGPT,Productivity
DramaBox - Stream Drama Shorts,Entertainment
PDF Reader - PDF Viewer,Productivity
SHEIN-Shopping Online,Shopping
Star+,Entertainment
BancoEstado,Finance
"Threads, an Instagram app",Social
Instagram,Social
Sodimac: Hogar y Construcción,Shopping
Help Monster: Tricky Puzzle,Games > Puzzle
Cheaf: Salva comida y ahorra,Food & Drink
Brawl Stars,Games > Action
Incorrecto,Lifestyle
CapCut - Video Editor,Video Players & Editors
falabella.com - Compra Online,Shopping
Santander Chile,Finance
Pizza Ready!,Games > Simulation
Telegram,Communication
Fruit Drop Master,Games > Puzzle
Piano Pink Tiles,Games > Music
"Canva: Design, Art & AI Editor",Art & Design
Mi Pass,Finance
Blood Strike - FPS for all,Games > Action
Duolingo: Language Lessons,Education
"Wood Nuts & Bolts, Screw",Games > Puzzle
Crunchyroll,Entertainment
Lessy,Shopping
X PhotoKit,Photography
Mercado Libre: Compras online,Shopping
Wood Nuts & Bolts Puzzle,Games > Puzzle
Block Blast!,Games > Puzzle
Pinterest,Lifestyle
Pluto TV: Watch TV & Movies,Entertainment
DailyTube,Video Players & Editors
Lirmi Family,Education
That's Not My Neighbor,Games > Puzzle
Instagram Lite,Social
Daily Forecast: Weather&Radar,Weather
Fonts Keyboard: Themes & Emoji,Personalization
Words of Wonders: Crossword,Games > Word
Shopee CL: 5.5 Para Ellas,Shopping
Banco Falabella Chile,Finance
Chatbot AI & Smart Assistant,Productivity
Mercado Pago: cuenta digital,Finance
Facebook,Social
