App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
Nequi Colombia,Finance
Davivienda,Finance
WhatsApp Messenger,Communication
Blood Strike - FPS for all,Games > Action
SHEIN-Shopping Online,Shopping
Yango — different from a taxi,Maps & Navigation
TikTok,Social
CapCut - Video Editor,Video Players & Editors
Facebook Lite,Social
Spotify: Music and Podcasts,Music & Audio
Telegram,Communication
Instagram,Social
Pizza Ready!,Games > Simulation
CallApp: Caller ID & Block,Communication
WhatsApp Business,Communication
Facebook,Social
"ViX: TV, Deportes y Noticias",Entertainment
UpStudy - Camera Math Solver,Education
Messenger,Communication
ChatGPT,Productivity
Free Fire,Games > Action
Duolingo: Language Lessons,Education
Truecaller: Identify Caller ID,Communication
Microsoft Teams,Business
Lessy,Shopping
"Max: Stream HBO, TV, & Movies",Entertainment
Cédula Digital Colombia,Productivity
Luzia: Your AI Assistant,Entertainment
PDF Reader: Ebook PDFs Reader,Productivity
CamScanner - PDF Scanner App,Productivity
Pinterest,Lifestyle
TikTok Lite - Save Data,Social
Instagram Lite,Social
Fonts Keyboard: Themes & Emoji,Personalization
Noticias Locales,News & Magazines
Bancolombia Personas,Finance
PDF Reader - PDF Viewer,Productivity
PDF Reader – PDF Viewer,Productivity
TickTock-TikTok Live Wallpaper,Tools
PDF Scanner - Document Scanner,Productivity
Mercado Libre: Compras online,Shopping
Bancolombia A la Mano,Finance
Subway Surfers,Games > Arcade
Crunchyroll,Entertainment
Video Editor APP - VivaCut,Video Players & Editors
Parchisi STAR Online,Games > Board
Lark Player:Music Player & MP3,Music & Audio
Netflix,Entertainment
"Threads, an Instagram app",Social
