App 이름,카테고리
"Max: Stream HBO, TV, & Movies",Entertainment
IQ Boost: Training Brain Games,Games > Puzzle
SHEIN-Shopping Online,Shopping
TikTok,Social
EDUS,Health & Fitness
Snapchat,Communication
WhatsApp Messenger,Communication
PDF Reader - PDF Viewer,Productivity
Instagram,Social
CapCut - Video Editor,Video Players & Editors
Rollance : Adventure Balls,Games > Action
Health Tracker,Health & Fitness
OVSICORI-UNA Alerta Terremotos,Education
Pizza Ready!,Games > Simulation
"Threads, an Instagram app",Social
Telegram,Communication
BN Móvil,Finance
X PhotoKit,Photography
Duolingo: Language Lessons,Education
Facebook,Social
Holy Bible - KJV+Verse,Books & Reference
Kash,Finance
Messenger,Communication
Royal Match,Games > Puzzle
Pinterest,Lifestyle
Temu: Shop Like a Billionaire,Shopping
ChatGPT,Productivity
Crunchyroll,Entertainment
TikTok Lite - Save Data,Social
WhatsApp Business,Communication
"Wood Nuts & Bolts, Screw",Games > Puzzle
King Browser - Fast & Private,Tools
Roblox,Games > Adventure
Helados Pops,Tools
McDonald's Offers and Delivery,Food & Drink
Instagram Lite,Social
BCR Clave Virtual,Finance
Daily Forecast: Weather&Radar,Weather
Doomsday: Last Survivors,Games > Strategy
Tubi: Movies & Live TV,Entertainment
Waze Navigation & Live Traffic,Maps & Navigation
Banca Móvil BAC,Finance
Free Fire,Games > Action
Proxy Browser,Tools
"Canva: Design, Art & AI Editor",Art & Design
ChatBot - AI Chat,Productivity
Subway Surfers,Games > Arcade
BCR Móvil,Finance
DramaBox - Stream Drama Shorts,Entertainment
Words of Wonders: Crossword,Games > Word
