App 이름,카테고리
ten ten,Social
Temu: Shop Like a Billionaire,Shopping
Vinted - Buy and sell clothes,Shopping
Zen Word® - Relax Puzzle Game,Games > Word
Müller,Shopping
OTPgo,Finance
Brawl Stars,Games > Action
"Threads, an Instagram app",Social
SHEIN-Shopping Online,Shopping
Hexa Sort,Games > Puzzle
TikTok,Social
Sinsay - moda i zakupy online,Shopping
WhatsApp Messenger,Communication
MAXtv,Entertainment
Radarbot Speed Camera Detector,Maps & Navigation
Mein dm,Shopping
Health Tracker,Health & Fitness
MultiPlusCard,Shopping
ABOUT YOU Outlet,Shopping
Lidl Plus,Shopping
Samsung Smart Switch Mobile,Tools
ABOUT YOU Online Fashion Shop,Shopping
Zalando – online fashion store,Shopping
Plant Parent: Plant Care Guide,Lifestyle
ChatGPT,Productivity
Block Blast!,Games > Puzzle
Moj Telekom HR,Productivity
"Revolut: Spend, Save, Trade",Finance
Pizza Ready!,Games > Simulation
PDF Reader - PDF Viewer,Productivity
QR & Barcode Scanner,Tools
Coca-Cola: Play & Win Prizes,Lifestyle
Moj Studenac,Shopping
Telegram,Communication
Piano Pink Tiles,Games > Music
Melodie Box Simulator,Games > Simulation
CapCut - Video Editor,Video Players & Editors
Instagram,Social
The Legend of Jaffa Brownie,Games > Adventure
Certilia,Productivity
Royal Match,Games > Puzzle
Tipli,Shopping
Microsoft Teams,Business
e-Građani mToken,Tools
Bolt: Request a Ride,Maps & Navigation
Snapchat,Communication
Aircash,Finance
"Wood Nuts & Bolts, Screw",Games > Puzzle
Rakuten Viber Messenger,Communication
Wolt Delivery: Food and more,Food & Drink
