App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
Clubcard Tesco Czechia,Shopping
Allegro: shopping online,Shopping
Portál občana,Tools
Packeta,Business
MyEdenred,Lifestyle
Lidl Plus,Shopping
Trendyol - Online Alışveriş,Shopping
WhatsApp Messenger,Communication
Sazka Klub,Entertainment
KB+,Finance
Brawl Stars,Games > Action
SHEIN-Shopping Online,Shopping
Raiffeisen bankovnictví,Finance
TunnelBear VPN,Tools
weather24: Forecast & Radar,Weather
mojePPL,Business
Duolingo: Language Lessons,Education
Pizza Ready!,Games > Simulation
Hexa Sort,Games > Puzzle
Můj Albert,Shopping
QR & Barcode Scanner,Tools
TikTok,Social
O2 TV 2.0,Entertainment
George Česko,Finance
Instagram,Social
QR & Barcode Reader,Productivity
Mein dm,Shopping
Kaufland - Shopping & Offers,Shopping
"Threads, an Instagram app",Social
MŮJ ČEZ,Tools
eDoklady,Tools
Mapy.cz: maps & navigation,Maps & Navigation
Bolt: Request a Ride,Maps & Navigation
Moje O2,Productivity
ChatGPT,Productivity
Zen Word® - Relax Puzzle Game,Games > Word
Můj T-Mobile,Tools
BILLA Česká republika,Shopping
Messenger,Communication
Piano Pink Tiles,Games > Music
"Wood Nuts & Bolts, Screw",Games > Puzzle
Google Wallet,Finance
Reserved,Shopping
Telegram,Communication
Triviascapes: trivia & IQ test,Games > Trivia
Block Blast!,Games > Puzzle
Samsung Smart Switch Mobile,Tools
ČSOB Smart,Finance
Přehraj.to,Tools
