App 이름,카테고리
Squad Busters,Games > Action
Temu: Shop Like a Billionaire,Shopping
Digital Post,Productivity
rejsekort,Maps & Navigation
Min Læge,Medical
Cashbackmedvisa.dk,Shopping
PostNord: Track & Send Parcels,Lifestyle
Microsoft Edge: AI browser,Communication
Sundhedskortet,Productivity
ChatGPT,Productivity
Hexa Sort,Games > Puzzle
Lidl Plus,Shopping
GLS - Receive and send parcels,Lifestyle
Blood Pressure,Health & Fitness
Medicinkortet,Medical
mit.dk,Communication
Pluto TV: Watch TV & Movies,Entertainment
Samsung Smart Switch Mobile,Tools
WhatsApp Messenger,Communication
SHEIN-Shopping Online,Shopping
Screw Puzzle: Wood Nut & Bolt,Games > Puzzle
QR & Barcode Reader,Productivity
Google Wallet,Finance
daoAPP,Shopping
RejseBillet,Travel & Local
Vinted - Buy and sell clothes,Shopping
Microsoft Teams,Business
Microsoft Authenticator,Business
Health Kit,Health & Fitness
MitID,Tools
Amazon Prime Video,Entertainment
EasyPark - Parking made easy,Travel & Local
TikTok,Social
Block Blast!,Games > Puzzle
Brawl Stars,Games > Action
"OK: Tank, vask, parker, oplad",Maps & Navigation
Adobe Express: AI Video Design,Art & Design
Ro,Education
Telegram,Communication
Instagram,Social
Plant Parent: Plant Care Guide,Lifestyle
e-Boks.dk,Productivity
"Threads, an Instagram app",Social
QR & Barcode Scanner,Tools
DSB App,Travel & Local
DRTV,Events
Match Factory!,Games > Puzzle
PDF Reader - PDF Viewer,Productivity
"Wood Nuts & Bolts, Screw",Games > Puzzle
Duolingo: Language Lessons,Education
