App 이름,카테고리
Snapchat,Communication
TikTok,Social
WhatsApp Messenger,Communication
WhatsApp Business,Communication
Instagram,Social
SHEIN-Shopping Online,Shopping
Messenger,Communication
Facebook,Social
Parchisi STAR Online,Games > Board
Alibaba.com - B2B marketplace,Shopping
TikTok Lite - Save Data,Social
Telegram,Communication
Proxy Browser,Tools
CapCut - Video Editor,Video Players & Editors
Facebook Lite,Social
Free Fire,Games > Action
Roblox,Games > Adventure
Duolingo: Language Lessons,Education
Netflix,Entertainment
Crunchyroll,Entertainment
Instagram Lite,Social
Subway Surfers,Games > Arcade
Lark Player:Music Player & MP3,Music & Audio
Blood Strike - FPS for all,Games > Action
TickTock-TikTok Live Wallpaper,Tools
Temu: Shop Like a Billionaire,Shopping
Clean Master Ultra Security,Tools
King Browser - Fast & Private,Tools
Control Center Simple,Personalization
Holy Bible - KJV+Verse,Books & Reference
Banreservas,Finance
X PhotoKit,Photography
Instabridge: WiFi Password Map,Productivity
ChatGPT,Productivity
Race Master 3D - Car Racing,Games > Racing
Pizza Ready!,Games > Simulation
Snake.io - Fun Snake .io Games,Games > Action
Music Player & MP3 - DDMusic,Music & Audio
School Party Craft,Games > Adventure
Pinterest,Lifestyle
ChatBot - AI Chat,Productivity
PDF Reader - PDF Viewer,Productivity
Tomb of the Mask,Games > Action
Dominoes,Games > Board
YouTube Kids,Entertainment
Build A Queen,Games > Casual
Bible Offline-KJV Holy Bible,Books & Reference
"Max: Stream HBO, TV, & Movies",Entertainment
Mi Claro República Dominicana,Tools
VPN - Super Unlimited Proxy,Tools
