App 이름,카테고리
Offline Games - No WiFi - Fun,Games > Casual
Deuna: ¡Paga y cobra fácil!,Finance
Telegram,Communication
CapCut - Video Editor,Video Players & Editors
WhatsApp Messenger,Communication
Lark Player:Music Player & MP3,Music & Audio
TikTok,Social
Fonts Keyboard: Themes & Emoji,Personalization
Subway Surfers,Games > Arcade
Facebook Lite,Social
PICHINCHA BANCA MÓVIL,Finance
Pizza Ready!,Games > Simulation
Messenger,Communication
Tubi: Movies & Live TV,Entertainment
Instagram,Social
Parchisi STAR Online,Games > Board
SHEIN-Shopping Online,Shopping
Free Fire,Games > Action
WhatsApp Business,Communication
Facebook,Social
Roblox,Games > Adventure
Banana Kong,Games > Action
Aquatrack,Health & Fitness
Spotify: Music and Podcasts,Music & Audio
TikTok Lite - Save Data,Social
Blood Strike - FPS for all,Games > Action
Plants vs. Zombies™,Games > Strategy
Tomb of the Mask,Games > Action
Doomsday: Last Survivors,Games > Strategy
Candy Crush Saga,Games > Casual
Words of Wonders: Crossword,Games > Word
2 3 4 Player Mini Games,Games > Simulation
Super Bino Go:Adventure Jungle,Games > Adventure
Stickman Party 2 3 4 MiniGames,Games > Arcade
Duolingo: Language Lessons,Education
Zoom Workplace,Business
Pinterest,Lifestyle
Royal Match,Games > Puzzle
Snapchat,Communication
Alibaba.com - B2B marketplace,Shopping
Build A Queen,Games > Casual
My Talking Angela 2,Games > Casual
ChatGPT,Productivity
TickTock-TikTok Live Wallpaper,Tools
Video Editor APP - VivaCut,Video Players & Editors
Pou,Games > Casual
Download Music Mp3,Music & Audio
Geometry Dash Lite,Games > Arcade
"Threads, an Instagram app",Social
hlonglangvpn,Tools
