App 이름,카테고리
WhatsApp Messenger,Communication
Google Chrome,Communication
YouTube,Video Players & Editors
Facebook,Social
Truecaller: Identify Caller ID,Communication
Samsung One UI Home,Personalization
Google,Tools
Messenger,Communication
Telegram,Communication
Instagram,Social
TikTok,Social
Phone by Google,Tools
Clock,Tools
Clock,Tools
Snapchat,Communication
Google Messages,Communication
Google Drive,Productivity
Google Play services,Tools
Gmail,Communication
Ana Vodafone,Productivity
Samsung Calculator,Tools
X,Social
WhatsApp Business,Communication
Samsung My Files,Tools
Google Translate,Tools
Google Photos,Photography
Google Maps,Travel & Local
Contacts,Communication
Samsung Internet Browser,Communication
Heytap Pictorial,Tools
Adobe Acrobat Reader: Edit PDF,Productivity
Samsung Notes,Productivity
Spotify: Music and Podcasts,Music & Audio
"SHAREit: Transfer, Share Files",Tools
My Files,Tools
My Etisalat,Productivity
Global Search,Tools
Samsung Calendar,Productivity
My WE,Tools
Pinterest,Lifestyle
Google Calendar,Productivity
Facebook Lite,Social
"WPS Office-PDF,Word,Sheet,PPT",Productivity
SoundCloud: Play Music & Songs,Music & Audio
LinkedIn: Jobs & Business News,Business
Lark Player:Music Player & MP3,Music & Audio
Prayer Now : Azan Prayer Times,Lifestyle
Google Keep - Notes and Lists,Productivity
"WeMuslim: Athan, Qibla&Quran",Lifestyle
Music,Music & Audio
