App 이름,카테고리
Snapchat,Communication
TikTok,Social
Uanataca SignCloud,Productivity
WhatsApp Messenger,Communication
Messenger,Communication
Facebook,Social
Instagram,Social
Mi Tigo El Salvador,Communication
CapCut - Video Editor,Video Players & Editors
TikTok Lite - Save Data,Social
Facebook Lite,Social
Holy Bible - KJV+Verse,Books & Reference
Health Tracker,Health & Fitness
SHEIN-Shopping Online,Shopping
WhatsApp Business,Communication
Telegram,Communication
Tubi: Movies & Live TV,Entertainment
"Max: Stream HBO, TV, & Movies",Entertainment
Free Fire,Games > Action
Spotify: Music and Podcasts,Music & Audio
"Threads, an Instagram app",Social
Waze Navigation & Live Traffic,Maps & Navigation
Video Editor APP - VivaCut,Video Players & Editors
Lark Player:Music Player & MP3,Music & Audio
TickTock-TikTok Live Wallpaper,Tools
Crunchyroll,Entertainment
Duolingo: Language Lessons,Education
Roblox,Games > Adventure
Bancoagrícola,Finance
PDF Reader - PDF Viewer,Productivity
Pinterest,Lifestyle
Subway Surfers,Games > Arcade
Brainly: AI Homework Helper,Education
ChatGPT,Productivity
Instagram Lite,Social
Music Player & MP3 - DDMusic,Music & Audio
Pizza Ready!,Games > Simulation
King Browser - Fast & Private,Tools
PedidosYa - Delivery Online,Food & Drink
inDrive. Save on city rides,Maps & Navigation
Alibaba.com - B2B marketplace,Shopping
hlonglangvpn,Tools
Bing: Chat with AI & GPT-4,Tools
Download Music Mp3,Music & Audio
EA SPORTS FC™ Mobile Soccer,Games > Sports
Examen de Manejo El Salvador,Education
"ViX: TV, Deportes y Noticias",Entertainment
Netflix,Entertainment
Proxy Browser,Tools
Daily Forecast: Weather&Radar,Weather
