App 이름,카테고리
Squad Busters,Games > Action
Temu: Shop Like a Billionaire,Shopping
IL Paras Sää,Weather
Vinted - Buy and sell clothes,Shopping
Yle Areena,Entertainment
"Threads, an Instagram app",Social
K-Ruoka,Shopping
Microsoft Teams,Business
Matkahuolto Paketit,Productivity
Microsoft Authenticator,Business
Tokmanni,Shopping
S-kaupat,Shopping
Lidl Plus,Shopping
Hexa Sort,Games > Puzzle
Samsung Smart Switch Mobile,Tools
WhatsApp Messenger,Communication
Microsoft Edge: AI browser,Communication
S-mobiili,Finance
TikTok,Social
Suomi.fi,Communication
QR & Barcode Reader,Productivity
Duolingo: Language Lessons,Education
PostNord: Track & Send Parcels,Lifestyle
Brawl Stars,Games > Action
MobilePay,Finance
Elisa Tietoturva,Tools
Telegram,Communication
ChatGPT,Productivity
VR Matkalla,Travel & Local
Instagram,Social
HSL - tickets & route planner,Travel & Local
Google Wallet,Finance
F-Secure: Total Security & VPN,Tools
Tori - Suosituin kauppapaikka,Lifestyle
ResQ Club - Save food!,Food & Drink
OmaElisa,Tools
Block Blast!,Games > Puzzle
CapCut - Video Editor,Video Players & Editors
Bolt: Request a Ride,Maps & Navigation
Veikkaus,Entertainment
Klarna | Shop now. Pay later.,Shopping
AITOFIT - Gym Workout Coach,Health & Fitness
PDF Reader - PDF Viewer,Productivity
OP-mobile,Finance
112 Suomi,Travel & Local
OmaMehiläinen,Health & Fitness
MTV Katsomo,Entertainment
Google Translate,Tools
Terveystalo,Health & Fitness
Finnair,Travel & Local
