App 이름,카테고리
Google Chrome,Communication
WhatsApp Messenger,Communication
Samsung One UI Home,Personalization
Facebook,Social
Google,Tools
YouTube,Video Players & Editors
Instagram,Social
Gmail,Communication
Google Messages,Communication
Messenger,Communication
Google Maps,Travel & Local
Clock,Tools
Snapchat,Communication
TikTok,Social
Phone by Google,Tools
Samsung Calendar,Productivity
Samsung Internet Browser,Communication
Google Play services,Tools
Telegram,Communication
Google Photos,Photography
Spotify: Music and Podcasts,Music & Audio
Google Drive,Productivity
Samsung Calculator,Tools
Samsung Notes,Productivity
Microsoft Outlook,Productivity
"leboncoin, petites annonces",Shopping
Amazon Shopping,Shopping
Vinted - Buy and sell clothes,Shopping
Samsung My Files,Tools
Contacts,Communication
Google Calendar,Productivity
LinkedIn: Jobs & Business News,Business
Waze Navigation & Live Traffic,Maps & Navigation
Ma Banque,Finance
X,Social
Clock,Tools
Netflix,Entertainment
Clock,Tools
YouTube Music,Music & Audio
Firefox Fast & Private Browser,Communication
Pinterest,Lifestyle
Heytap Pictorial,Tools
SuperVPN Fast VPN Client,Tools
Mail Orange - Messagerie email,Productivity
Adobe Acrobat Reader: Edit PDF,Productivity
Google Translate,Tools
AliExpress_US,Shopping
Samsung Email,Productivity
Banxo,Finance
Deezer: Music & Podcast Player,Music & Audio
