App 이름,카테고리
myAADEapp,Finance
Temu: Shop Like a Billionaire,Shopping
Zen Word® - Relax Puzzle Game,Games > Word
winbank app,Finance
Gov.gr Wallet,Productivity
SHEIN-Shopping Online,Shopping
TikTok,Social
BOX NOW,Business
Wolt Delivery: Food and more,Food & Drink
ABOUT YOU Online Fashion Shop,Shopping
"Threads, an Instagram app",Social
Lidl Plus,Shopping
Flashback: Tricky Fun Riddles,Games > Puzzle
"Revolut: Spend, Save, Trade",Finance
ten ten,Social
ABOUT YOU Outlet,Shopping
WhatsApp Messenger,Communication
Hexa Sort,Games > Puzzle
NBG Mobile Banking,Finance
Skroutz,Shopping
Rakuten Viber Messenger,Communication
payzy,Finance
efood delivery,Food & Drink
Instagram,Social
COSMOTE,Tools
Google Wallet,Finance
Pizza Ready!,Games > Simulation
Eurobank Mobile App,Finance
PDF Reader - PDF Viewer,Productivity
Duolingo: Language Lessons,Education
OPAP Store,Entertainment
Health Tracker,Health & Fitness
BOX,Food & Drink
CapCut - Video Editor,Video Players & Editors
Messenger,Communication
QR & Barcode Scanner,Tools
Brawl Stars,Games > Action
ChatGPT,Productivity
myErgani,Business
Telegram,Communication
myΔΕΗ,Tools
Samsung Smart Switch Mobile,Tools
Piano Pink Tiles,Games > Music
myAlpha Mobile,Finance
"Wood Nuts & Bolts, Screw",Games > Puzzle
Fruit Drop Master,Games > Puzzle
Block Blast!,Games > Puzzle
Facebook,Social
FREENOW - Mobility Super App,Travel & Local
What's Up,Tools
