App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
Hexa Sort,Games > Puzzle
Zen Word® - Relax Puzzle Game,Games > Word
SHEIN-Shopping Online,Shopping
EgészségAblak,Medical
TikTok,Social
"Threads, an Instagram app",Social
Packeta,Business
NAV-Mobil,Communication
ten ten,Social
Vinted - Buy and sell clothes,Shopping
Pizza Ready!,Games > Simulation
Health Kit,Health & Fitness
"Revolut: Spend, Save, Trade",Finance
WhatsApp Messenger,Communication
Trendyol - Online Alışveriş,Shopping
Lidl Plus,Shopping
"Wood Nuts & Bolts, Screw",Games > Puzzle
Messenger,Communication
PixAI: AI Anime Art Generator,Art & Design
Block Blast!,Games > Puzzle
Reserved,Shopping
Google Wallet,Finance
OTP Bank HU,Finance
Telekom,Tools
Health Tracker,Health & Fitness
ABOUT YOU Outlet,Shopping
Brawl Stars,Games > Action
Piano Pink Tiles,Games > Music
Mein dm,Shopping
QR & Barcode Reader,Productivity
CapCut - Video Editor,Video Players & Editors
ABOUT YOU Online Fashion Shop,Shopping
"Ora Clean & Master, Antivirus",Tools
TunnelBear VPN,Tools
Duolingo: Language Lessons,Education
ChatGPT,Productivity
Instagram,Social
Samsung Smart Switch Mobile,Tools
Alma+,Health & Fitness
foodora - Food & Groceries,Food & Drink
Rakuten Viber Messenger,Communication
Notino: perfumes and cosmetics,Shopping
Microsoft Authenticator,Business
Plant Parent: Plant Care Guide,Lifestyle
Sinsay - moda i zakupy online,Shopping
Facebook,Social
Wolt Delivery: Food and more,Food & Drink
Wood Nuts & Bolts Puzzle,Games > Puzzle
Telegram,Communication
