App 이름,카테고리
WhatsApp Messenger,Communication
YouTube,Video Players & Editors
Facebook,Social
Phone by Google,Tools
Google,Tools
Instagram,Social
Google Chrome,Communication
Truecaller: Identify Caller ID,Communication
Google Messages,Communication
"PhonePe UPI, Payment, Recharge",Finance
Contacts,Communication
Google Pay: Save and Pay,Finance
Snapchat,Communication
JioCinema - TATA IPL & more,Entertainment
Samsung One UI Home,Personalization
WhatsApp Business,Communication
Messenger,Communication
Mi Wallpaper Carousel,Personalization
Google Photos,Photography
App Vault,Tools
Calculator,Tools
Google Play services,Tools
Telegram,Communication
Cleaner,Tools
Flipkart Online Shopping App,Shopping
Google Maps,Travel & Local
Gmail,Communication
Meesho: Online Shopping App,Shopping
Google Drive,Productivity
Facebook Lite,Social
Global Search,Tools
ShareChat Trends Videos & Live,Social
MyJio: For Everything Jio,Productivity
Clock,Tools
PLAYit-All in One Video Player,Video Players & Editors
"Amazon India Shop, Pay, miniTV",Shopping
Hotstar,Entertainment
Paytm: Secure UPI Payments,Finance
MX Player,Video Players & Editors
Spotify: Music and Podcasts,Music & Audio
Internet Browser,Tools
Google Calendar,Productivity
Heytap Pictorial,Tools
Samsung Calculator,Tools
Where is my Train,Travel & Local
Moj: Viral Short Videos,Social
Mi Calendar,Productivity
Glance for realme,Entertainment
Mi Music,Music & Audio
Cricbuzz - Live Cricket Scores,Sports
