App 이름,카테고리
WhatsApp Messenger,Communication
TikTok,Video Players & Editors
YouTube,Video Players & Editors
Google Chrome,Communication
Google,Tools
Facebook,Social
Instagram,Social
Samsung One UI Home,Personalization
Facebook Lite,Social
Shopee 5.5 Voucher Kaget,Shopping
Messenger,Communication
CapCut - Video Editor,Video Players & Editors
SnackVideo,Video Players & Editors
myIM3: Data Plan & Buy Package,Tools
Clock,Tools
Lazada,Shopping
WhatsApp Business,Communication
Google Maps,Travel & Local
Google Play services,Tools
DANA Indonesia Digital Wallet,Finance
Telegram,Communication
Google Photos,Photography
Global Search,Tools
XOS Launcher -Cool Stylish,Personalization
Phone Manager,Tools
Gmail,Communication
BCA mobile,Finance
Google Calendar,Productivity
TikTok Lite - Save Data,Social
Internet Browser,Tools
MyTelkomsel - Buy Package,Tools
BRImo BRI,Finance
Vivo Browser,Communication
Fizzo Novel - Reading Offline,Books & Reference
AI Gallery,Photography
My Files,Tools
Heytap Pictorial,Tools
Clock,Tools
GoTube: Video & Music Player,Entertainment
X,Social
Gojek - Food & Transportation,Travel & Local
Spotify: Music and Podcasts,Music & Audio
Calculator,Tools
Samsung Calculator,Tools
Google Messages,Communication
"WPS Office-PDF,Word,Sheet,PPT",Productivity
"SHAREit: Transfer, Share Files",Tools
Google Drive,Productivity
Tokopedia,Shopping
Livin' by Mandiri,Finance
