App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
SHEIN-Shopping Online,Shopping
Google Wallet,Finance
"Revolut: Spend, Save, Trade",Finance
WhatsApp Messenger,Communication
TikTok,Social
Microsoft Teams,Business
Microsoft Edge: AI browser,Communication
Tesco Ireland,Shopping
Microsoft Authenticator,Business
"Threads, an Instagram app",Social
Ticketmaster IE Event Tickets,Entertainment
QR & Barcode Scanner,Tools
The Lunch Bag,Food & Drink
Plant Parent: Plant Care Guide,Lifestyle
Lidl Plus,Shopping
ChatGPT,Productivity
CapCut - Video Editor,Video Players & Editors
Telegram,Communication
Ryanair,Travel & Local
Samsung Smart Switch Mobile,Tools
No Thanks,Tools
Real Rewards,Shopping
GlorTire,Entertainment
Very Ireland,Shopping
Instagram,Social
Dunnes Stores,Shopping
TFI Live,Maps & Navigation
Control Center Simple,Personalization
Snapchat,Communication
Indeed Job Search,Business
Aer Lingus App,Travel & Local
Duolingo: Language Lessons,Education
Pizza Ready!,Games > Simulation
Zoom Workplace,Business
AIB Mobile,Finance
Eventbrite – Discover events,Entertainment
Uber - Request a ride,Maps & Navigation
PDF Reader - PDF Viewer,Productivity
Too Good To Go: End Food Waste,Food & Drink
Blood Pressure,Health & Fitness
Booking.com: Hotels & Travel,Travel & Local
Waze Navigation & Live Traffic,Maps & Navigation
Yuka - Food & Cosmetic Scanner,Health & Fitness
Match Factory!,Games > Puzzle
Calorie Counter +,Health & Fitness
Disney+,Entertainment
Hexa Sort,Games > Puzzle
Leap Top-up,Maps & Navigation
BBC: World News & Stories,News & Magazines
