App 이름,카테고리
DramaBox - Stream Drama Shorts,Entertainment
Control Center Simple,Personalization
Snapchat,Communication
SHEIN-Shopping Online,Shopping
TikTok,Social
Duolingo: Language Lessons,Education
WhatsApp Messenger,Communication
ABCmouse – Kids Learning Games,Education
Chatbot AI & Smart Assistant,Productivity
Instagram,Social
FilmPro,Entertainment
Audiomack: Music Downloader,Music & Audio
Temu: Shop Like a Billionaire,Shopping
Roblox,Games > Adventure
Pisces - Smart Stream Player,Video Players & Editors
Crunchyroll,Entertainment
Instabridge: WiFi Password Map,Productivity
Zoom Workplace,Business
CapCut - Video Editor,Video Players & Editors
Alibaba.com - B2B marketplace,Shopping
WhatsApp Business,Communication
Telegram,Communication
Pray Daily - KJV Bible & Verse,Books & Reference
Free Fire,Games > Action
Instagram Lite,Social
CallApp: Caller ID & Block,Communication
GK One,Finance
King James Bible - Verse+Audio,Books & Reference
Real Car Driving: Race City 3D,Games > Racing
PDF Reader - PDF Viewer,Productivity
TikTok Lite - Save Data,Social
Google Classroom,Education
School Party Craft,Games > Adventure
Netflix,Entertainment
Subway Surfers,Games > Arcade
Proxy Browser,Tools
Pocket FM: Audio Series,Music & Audio
Amazon Shopping,Shopping
X PhotoKit,Photography
Topup Flow,Shopping
MyCash – Digital Payments App,Finance
Facebook,Social
"Wood Nuts & Bolts, Screw",Games > Puzzle
VPN - Super Unlimited Proxy,Tools
ChatGPT,Productivity
NCB Mobile,Finance
Health Tracker,Health & Fitness
Traffic Escape!,Games > Puzzle
Race Master 3D - Car Racing,Games > Racing
Music Player & MP3 - DDMusic,Music & Audio
