App 이름,카테고리
Google Chrome,Communication
LINE: Calls & Messages,Communication
Google,Tools
YouTube,Video Players & Editors
Gmail,Communication
Google Maps,Travel & Local
Google Photos,Photography
X,Social
Instagram,Social
Clock,Tools
Samsung One UI Home,Personalization
Yahoo!天気 - 雨雲や台風の接近がわかる天気予報アプリ,Weather
Amazon Shopping,Shopping
Google Play services,Tools
Yahoo! JAPAN,News & Magazines
Facebook,Social
PayPay-ペイペイ,Finance
楽天市場 - 楽天ポイントが貯まる日本最大級の通販アプリ,Shopping
Google Drive,Productivity
SmartNews: News That Matters,News & Magazines
Clock,Tools
フリマアプリはメルカリ - メルペイのスマホ決済でもっとお得,Shopping
Yahoo! Mail,Communication
Calculator,Tools
d Point Club,Shopping
＋メッセージ（プラスメッセージ）,Communication
Google Calendar,Productivity
楽天ペイ,Finance
Nova Launcher,Personalization
SmartNews for docomo（旧マイマガジン）,News & Magazines
d払い－スマホ決済アプリ、キャッシュレスでお支払い,Finance
File Manager,Productivity
ウェザーニュース  天気・雨雲レーダー・台風の天気予報アプリ,Weather
Samsung Internet Browser,Communication
Yahoo!ニュース　最新情報を速報　防災・天気・コメントも,News & Magazines
TikTok,Video Players & Editors
スポナビ 野球速報,Sports
Yahoo!乗換案内　時刻表、運行情報、乗り換え検索,Maps & Navigation
Spotify: Music and Podcasts,Music & Audio
Super Point Screen - Rewards,Lifestyle
dmenuニュース　最新ニュースや地域、防災情報も！,News & Magazines
my daiz,Lifestyle
Phone by Google,Tools
楽天ポイントクラブ – 楽天ポイント管理アプリ,Lifestyle
Files by Google,Tools
Rakuten Link,Communication
WhatsApp Messenger,Communication
Messenger,Communication
FamilyAlbum - Photo Sharing,Parenting
Yahoo!オークション　ネットオークション、フリマアプリ,Shopping
