App 이름,카테고리
Health Tracker,Health & Fitness
Instagram,Social
Snapchat,Communication
SHEIN-Shopping Online,Shopping
Electric Plug Run,Games > Casual
Pizza Ready!,Games > Simulation
Speedy Quark VPN - VPN Master,Tools
WhatsApp Messenger,Communication
Messenger,Communication
السوق المفتوح - OpenSooq,Shopping
Lie Detector Test : Prank App,Entertainment
Subway Surfers,Games > Arcade
Facebook,Social
ويبلاي - ألعاب ودردشة,Entertainment
TikTok,Social
Telegram,Communication
Jeeny - جيني,Maps & Navigation
"WeMuslim: Athan, Qibla&Quran",Lifestyle
VPN - Super Unlimited Proxy,Tools
CapCut - Video Editor,Video Players & Editors
Free Fire,Games > Action
Hide 'N Seek!,Games > Action
Alibaba.com - B2B marketplace,Shopping
Doomsday: Last Survivors,Games > Strategy
Truecaller: Identify Caller ID,Communication
Temu: Shop Like a Billionaire,Shopping
DOP: Draw One Part,Games > Puzzle
Roblox,Games > Adventure
Kwai - Short Video Community,Video Players & Editors
"Threads, an Instagram app",Social
"talabat: Food, grocery & more",Food & Drink
Video Editor APP - VivaCut,Video Players & Editors
Secure VPN－Safer Internet,Tools
Hajwala & Drift Online,Games > Racing
jood Orange,Tools
Monster Call: Prank Sound,Entertainment
Real Car Driving: Race City 3D,Games > Racing
Build A Queen,Games > Casual
Scary Teacher 3D,Games > Simulation
Flashlight: Led Torch Light,Tools
YouTube Kids,Entertainment
Rapid VPN - Safe Secure Proxy,Tools
Instagram Lite,Social
Royal Match,Games > Puzzle
Orange Money Jordan,Finance
Rope Hero: Mafia City Wars,Games > Action
"Jawaker Hand, Trix & Solitaire",Games > Cards
8 Ball Pool,Games > Sports
Pinterest,Lifestyle
PUBG MOBILE,Games > Action
