App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
eGov mobile,Social
2GIS: Offline map & navigation,Maps & Navigation
Telegram,Communication
Kaspi.kz суперприложение,Finance
Craft Box Game Tree,Games > Simulation
TikTok,Social
Yandex Go — taxi and delivery,Maps & Navigation
Brawl Stars,Games > Action
Relax Mini Games,Games > Casual
BLACK RUSSIA,Games > Role Playing
Cryptogram Words Master,Games > Word
e-Salyq Azamat,Finance
Halyk Kazakhstan,Finance
OLX Classifieds of Kazakhstan,Shopping
Wildberries,Shopping
WePlay: Играй и Общайся!,Entertainment
Technodom,Shopping
Мой Beeline (Казахстан),Communication
Subway Surfers,Games > Arcade
Яндекс — с Алисой,Tools
WhatsApp Messenger,Communication
Instagram,Social
Yandex Maps and Navigator,Maps & Navigation
TikTok Lite - Save Data,Social
Roblox,Games > Adventure
CapCut - Video Editor,Video Players & Editors
Health Tracker,Health & Fitness
Pizza Ready!,Games > Simulation
inDrive. Save on city rides,Maps & Navigation
WhatsApp Business,Communication
Word Search - Evolution Puzzle,Games > Word
Tele2 Казахстан,Communication
QR Scanner - Barcode Reader,Productivity
Skizz - Lockscreen Drawing,Personalization
Snake.io - Fun Snake .io Games,Games > Action
Multi Shooter in Sandbox Mods,Games > Action
Free Fire,Games > Action
Grand Mobile - гонки и суета,Games > Simulation
Yandex Browser with Protect,Personalization
"OZON: товары, одежда, билеты",Shopping
Kolesa.kz — авто объявления,Auto & Vehicles
Joom. Shopping for every day,Shopping
Instagram Lite,Social
Gangs Wars: Pixel Shooter RP,Games > Action
B-Bank,Finance
Stickman Party 2 3 4 MiniGames,Games > Arcade
"VK: music, video, messenger",Social
Snake Clash!,Games > Arcade
Vape 'N Pod Trick Simulator,Games > Simulation
