App 이름,카테고리
Samsung One UI Home,Personalization
KakaoTalk : Messenger,Communication
YouTube,Video Players & Editors
Google Chrome,Communication
Clock,Tools
Samsung Internet Browser,Communication
네이버 - NAVER,Books & Reference
"NAVER Map, Navigation",Maps & Navigation
쿠팡 (Coupang),Shopping
Instagram,Social
Samsung Calendar,Productivity
Google,Tools
Samsung Wallet (Samsung Pay),Lifestyle
토스,Finance
T전화 - AI로 더 똑똑해진 전화 앱!,Communication
Samsung Notes,Productivity
배달의민족,Food & Drink
YouTube Music,Music & Audio
Google Play services,Tools
KakaoMap - Map / Navigation,Travel & Local
Karrot: Buy & sell locally,Social
Gmail,Communication
네이버 웹툰 - Naver Webtoon,Comics
Samsung Calculator,Tools
Samsung My Files,Tools
UBhind: Mobile Time Keeper,Productivity
카카오뱅크,Finance
Facebook,Social
네이버 카페  - Naver Cafe,Social
"티맵 - 대중교통, 대리운전, 주차, 렌터카, 공항버스",Maps & Navigation
Telegram,Communication
BAND - App for all groups,Social
X,Social
Alarmy - Alarm Clock & Sleep,Productivity
Samsung Music,Music & Audio
Netflix,Entertainment
KB국민은행 스타뱅킹,Finance
"Kakao T - Taxi, Driver, Bike",Maps & Navigation
멜론(Melon),Music & Audio
AliExpress_US,Shopping
Coupang Eats - Food Delivery,Food & Drink
WhatsApp Messenger,Communication
Samsung Health,Health & Fitness
Messenger,Communication
TVING,Entertainment
"Discord: Talk, Chat & Hang Out",Communication
다음 - Daum,Communication
에브리타임 - 함께하는 대학생활,Social
캐시워크 - 적립형 만보기 첫화면,Health & Fitness
Google Maps,Travel & Local
