App 이름,카테고리
WhatsApp Messenger,Communication
Facebook,Social
YouTube,Video Players & Editors
Instagram,Social
Google,Tools
TikTok,Social
Google Chrome,Communication
Samsung One UI Home,Personalization
WhatsApp Business,Communication
Messenger,Communication
imo-International Calls & Chat,Communication
Phone by Google,Tools
Clock,Tools
Google Messages,Communication
Google Maps,Travel & Local
Telegram,Communication
Snapchat,Communication
Google Play services,Tools
Google Photos,Photography
Gmail,Communication
Samsung Calculator,Tools
iTel Mobile Dialer Express,Communication
Truecaller: Identify Caller ID,Communication
"PhonePe UPI, Payment, Recharge",Finance
Google Translate,Tools
Clock,Tools
Contacts,Communication
Facebook Lite,Social
Temu: Shop Like a Billionaire,Shopping
MX Player,Video Players & Editors
Cricbuzz - Live Cricket Scores,Sports
imo HD - Video Calls and Chats,Communication
Samsung Internet Browser,Communication
Ooredoo Kuwait,Tools
TeraBox: Cloud Storage Space,Tools
Google Drive,Productivity
Kuwait Mobile ID هويتي,Business
Google Pay: Save and Pay,Finance
Kuwait Finder,Maps & Navigation
Sahel - سهل,Productivity
CapCut - Video Editor,Video Players & Editors
Samsung Calendar,Productivity
Calculator,Tools
Status Saver - video download,Social
CricInstant Cricket Scores,Entertainment
TikTok Lite - Save Data,Social
Google Calendar,Productivity
ShareChat Trends Videos & Live,Social
Cleaner,Tools
Bobble AI Keyboard,Communication
