App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
#walk15 – Useful Steps App,Health & Fitness
Lidl Plus,Shopping
ABOUT YOU Outlet,Shopping
TikTok,Social
Hexa Sort,Games > Puzzle
Telegram,Communication
Brawl Stars,Games > Action
"Threads, an Instagram app",Social
Rimi,Shopping
SHEIN-Shopping Online,Shopping
"Wood Nuts & Bolts, Screw",Games > Puzzle
WhatsApp Messenger,Communication
Google Wallet,Finance
Smart-ID,Business
eParaksts mobile,Productivity
Pizza Ready!,Games > Simulation
Block Blast!,Games > Puzzle
ChatGPT,Productivity
Google Fit: Activity Tracking,Health & Fitness
MAXIMA,Shopping
"Revolut: Spend, Save, Trade",Finance
Mans Tele2,Tools
Duolingo: Language Lessons,Education
CapCut - Video Editor,Video Players & Editors
Samsung Smart Switch Mobile,Tools
PDF Reader - PDF Viewer,Productivity
Craft Box Game Tree,Games > Simulation
Mobilly,Maps & Navigation
Piano Pink Tiles,Games > Music
QR & Barcode Scanner,Tools
Microsoft Teams,Business
Instagram,Social
Real Car Driving: Race City 3D,Games > Racing
Bolt: Request a Ride,Maps & Navigation
Swedbank Latvia,Finance
Wood Nuts & Bolts Puzzle,Games > Puzzle
Google Translate,Tools
Snapchat,Communication
Pixel by Color: Pixel Art,Games > Puzzle
Rollance : Adventure Balls,Games > Action
Pinterest,Lifestyle
Roblox,Games > Adventure
1a.lv - Kopā ar Tevi,Shopping
Vehicle Masters,Games > Simulation
Vivi Latvija,Auto & Vehicles
Messenger,Communication
Zoom Workplace,Business
Waze Navigation & Live Traffic,Maps & Navigation
Zalando – online fashion store,Shopping
