App 이름,카테고리
WhatsApp Messenger,Communication
Facebook,Social
TikTok,Video Players & Editors
YouTube,Video Players & Editors
Google Chrome,Communication
Google,Tools
Instagram,Social
Messenger,Communication
Shopee 5.5 Super Seringgit,Shopping
Telegram,Communication
Samsung One UI Home,Personalization
WhatsApp Business,Communication
Phone by Google,Tools
Gmail,Communication
Google Maps,Travel & Local
Clock,Tools
Truecaller: Identify Caller ID,Communication
Google Play services,Tools
MAE by Maybank2u,Finance
CapCut - Video Editor,Video Players & Editors
Lazada,Shopping
Google Photos,Photography
imo-International Calls & Chat,Communication
Clock,Tools
Touch 'n Go eWallet,Finance
Google Messages,Communication
Facebook Lite,Social
Grab - Taxi & Food Delivery,Travel & Local
Live 4D Results (MY & SG),Lifestyle
Google Drive,Productivity
Google Calendar,Productivity
Waze Navigation & Live Traffic,Maps & Navigation
Google Translate,Tools
Snapchat,Communication
Global Search,Tools
Samsung Calculator,Tools
X,Social
Spotify: Music and Podcasts,Music & Audio
Heytap Pictorial,Tools
Internet Browser,Tools
Contacts,Communication
Vivo Browser,Communication
CIMB Clicks Malaysia,Finance
Samsung Internet Browser,Communication
Hotlink,Tools
"WPS Office-PDF,Word,Sheet,PPT",Productivity
Cleaner,Tools
MyDigi Mobile App,Tools
Calculator,Tools
Bobble AI Keyboard,Communication
