App 이름,카테고리
WhatsApp Messenger,Communication
Google Chrome,Communication
YouTube,Video Players & Editors
Facebook,Social
Samsung One UI Home,Personalization
Instagram,Social
Google,Tools
Spotify: Music and Podcasts,Music & Audio
TikTok,Social
Phone by Google,Tools
Google Maps,Travel & Local
Gmail,Communication
Google Photos,Photography
Messenger,Communication
Clock,Tools
Google Play services,Tools
Google Drive,Productivity
Clock,Tools
BBVA México,Finance
X,Social
Google Messages,Communication
Samsung Calculator,Tools
Telegram,Communication
Mercado Libre: Compras online,Shopping
Calculator,Tools
Amazon Shopping,Shopping
Samsung Calendar,Productivity
Contacts,Communication
Google Calendar,Productivity
Pinterest,Lifestyle
Microsoft Outlook,Productivity
Moto Camera 3,Photography
Netflix,Entertainment
YouTube Music,Music & Audio
Samsung Notes,Productivity
Uber - Request a ride,Maps & Navigation
WhatsApp Business,Communication
Duolingo: Language Lessons,Education
Samsung Internet Browser,Communication
Adobe Acrobat Reader: Edit PDF,Productivity
"Brave Private Web Browser, VPN",Communication
Facebook Lite,Social
Clock,Tools
Samsung My Files,Tools
DiDi Rider: Affordable rides,Maps & Navigation
Files by Google,Tools
AliExpress_US,Shopping
SuperMóvil,Finance
Google Keep - Notes and Lists,Productivity
Temu: Shop Like a Billionaire,Shopping
