App 이름,카테고리
1.1.1.1 + WARP: Safer Internet,Tools
WhatsApp Messenger,Communication
Facebook Lite,Social
CapCut - Video Editor,Video Players & Editors
Instagram,Social
Messenger,Communication
Facebook,Social
TikTok,Social
Free Fire,Games > Action
"SHAREit: Transfer, Share Files",Tools
Remini - AI Photo Enhancer,Photography
eSewa - Mobile Wallet (Nepal),Finance
Snapchat,Communication
Alibaba.com - B2B marketplace,Shopping
TikTok Lite - Save Data,Social
Ludo King™,Games > Board
imo-International Calls & Chat,Communication
AirBrush - AI Photo Editor,Photography
Temple Run 2,Games > Action
Hamro Patro : Nepali Calendar,Productivity
All Video Downloader,Tools
Duolingo: Language Lessons,Education
Ciao Proxy - Safer & Private,Tools
ChatGPT,Productivity
QR & Barcode Scanner,Tools
BeautyPlus-AI Photo/Video Edit,Photography
Car Race 3D: Car Racing,Games > Racing
inDrive. Save on city rides,Maps & Navigation
Private VPN - Fast VPN Proxy,Tools
Hamro Nepali Keyboard,Tools
MX Player,Video Players & Editors
Class 12 English Guide,Education
Indian Bikes Driving 3D,Games > Simulation
Stunt Bike Extreme,Games > Racing
Ludo,Games > Board
Free Fire MAX,Games > Action
imo HD - Video Calls and Chats,Communication
Subway Surfers,Games > Arcade
Candy Crush Saga,Games > Casual
Snake Clash!,Games > Arcade
Telegram,Communication
Ramp Car Games: GT Car Stunts,Games > Simulation
Mobile Legends: Bang Bang,Games > Action
Pizza Ready!,Games > Simulation
Instagram Lite,Social
Control Center Simple,Personalization
Hunter Assassin,Games > Action
Pathao,Maps & Navigation
Turbo VPN - Secure VPN Proxy,Tools
Speedy Quark VPN - VPN Master,Tools
