App 이름,카테고리
WhatsApp Messenger,Communication
Google Chrome,Communication
Samsung One UI Home,Personalization
Instagram,Social
YouTube,Video Players & Editors
Google,Tools
Gmail,Communication
Facebook,Social
Google Maps,Travel & Local
Clock,Tools
Samsung Internet Browser,Communication
Snapchat,Communication
Spotify: Music and Podcasts,Music & Audio
TikTok,Social
Samsung Calendar,Productivity
Google Play services,Tools
Rabobank,Finance
Buienradar - weer,Weather
Telegram,Communication
Phone by Google,Tools
Google Photos,Photography
Microsoft Outlook,Productivity
Messenger,Communication
ING Bankieren,Finance
Marktplaats,Shopping
Videoland,Entertainment
X,Social
Samsung Notes,Productivity
Samsung Calculator,Tools
Google Messages,Communication
Buienalarm,Weather
Samsung My Files,Tools
"NU.nl - Nieuws, Sport & meer",News & Magazines
NOS,News & Magazines
Google Calendar,Productivity
Samsung Email,Productivity
"Discord: Talk, Chat & Hang Out",Communication
Netflix,Entertainment
Pinterest,Lifestyle
ASN Bank,Finance
LinkedIn: Jobs & Business News,Business
Albert Heijn supermarkt,Shopping
bol,Shopping
ABN AMRO,Finance
Google Drive,Productivity
WhatsApp Business,Communication
Google Wallet,Finance
Google Translate,Tools
Microsoft OneDrive,Productivity
Samsung Health,Health & Fitness
