App 이름,카테고리
BankID,Tools
Temu: Shop Like a Billionaire,Shopping
Squad Busters,Games > Action
mypostnord,Tools
Posten,Tools
KIWI PLUSS,Lifestyle
Microsoft Edge: AI browser,Communication
Trumf,Shopping
Microsoft Authenticator,Business
Microsoft Teams,Business
ChatGPT,Productivity
Samsung Smart Switch Mobile,Tools
Control Center Simple,Personalization
TikTok,Social
WhatsApp Messenger,Communication
Spond - Sports Team Management,Sports
"Revolut: Spend, Save, Trade",Finance
Klarna | Shop now. Pay later.,Shopping
Google Wallet,Finance
Norwegian Travel Assistant,Travel & Local
Vipps,Finance
Helsenorge,Medical
Ruter,Travel & Local
Intune Company Portal,Business
Plant Parent: Plant Care Guide,Lifestyle
Adobe Express: AI Video Design,Art & Design
Autopay - Park & Charge,Auto & Vehicles
Hexa Sort,Games > Puzzle
Wolt Delivery: Food and more,Food & Drink
MENY,Lifestyle
Coop medlem,Shopping
Too Good To Go: End Food Waste,Food & Drink
Entur - Journey Planner,Travel & Local
Norsk Tipping,Entertainment
Hjelp 113,Medical
"Threads, an Instagram app",Social
QR & Barcode Reader,Productivity
SpareBank 1 Mobile Banking,Finance
DNB,Finance
Vy,Maps & Navigation
EasyPark - Parking made easy,Travel & Local
Disney+,Entertainment
Snapchat,Communication
Førerkort,Auto & Vehicles
Duolingo: Language Lessons,Education
CapCut - Video Editor,Video Players & Editors
Google Translate,Tools
Last War:Survival Game,Games > Strategy
eTilbudsavis,Shopping
SAS – Scandinavian Airlines,Travel & Local
