App 이름,카테고리
CapCut - Video Editor,Video Players & Editors
WhatsApp Business,Communication
WhatsApp Messenger,Communication
TikTok,Social
Facebook,Social
Snapchat,Communication
Jazz World - Badalne Ja Raha,Business
TikTok Lite - Save Data,Social
easypaisa - Payments Made Easy,Finance
"Tamasha: Cricket, TV, Movies",Entertainment
SuperVPN Fast VPN Client,Tools
JazzCash - Your Mobile Account,Finance
Yalla Ludo - Ludo&Domino,Games > Board
Instagram,Social
My Zong,Communication
flashlight Simple SM,Productivity
Messenger,Communication
Bubble Rangers: Endless Runner,Games > Casual
Remini - AI Photo Enhancer,Photography
Re-Imagine : AI Art Generator,Art & Design
Aquatrack,Health & Fitness
PLAYit-All in One Video Player,Video Players & Editors
"Zapya - File Transfer, Share",Tools
MX Player,Video Players & Editors
Ludo STAR: Online Dice Game,Games > Board
AppLock,Tools
Facebook Lite,Social
Subway Surfers,Games > Arcade
File Miner - Photo Recovery,Tools
SnackVideo,Video Players & Editors
Daraz Online Shopping App,Shopping
"SHAREit: Transfer, Share Files",Tools
Ramp Car Games: GT Car Stunts,Games > Simulation
"UC Browser-Safe, Fast, Private",Communication
My Telenor,Tools
Ludo King™,Games > Board
TickTock-TikTok Live Wallpaper,Tools
AirBrush - AI Photo Editor,Photography
inDrive. Save on city rides,Maps & Navigation
Don't Touch My Phone AntiTheft,Tools
Photo Lab Picture Editor & Art,Photography
Eyecon Caller ID & Spam Block,Communication
Bigo Live - Live Streaming App,Social
All Video Downloader,Tools
App Lock - Applock Fingerprint,Productivity
Pooking - Billiards City,Games > Sports
imo-International Calls & Chat,Communication
Temple Run 2,Games > Action
HideU: Calculator Lock,Tools
Free Fire,Games > Action
