App 이름,카테고리
IQ Boost: Training Brain Games,Games > Puzzle
Banca Móvil de Banco General,Finance
Mi Tigo Panamá,Productivity
TikTok,Social
Instagram,Social
Snapchat,Communication
PDF Reader - PDF Viewer,Productivity
WhatsApp Messenger,Communication
Telegram,Communication
McDonald's Offers and Delivery,Food & Drink
Parchisi STAR Online,Games > Board
Temu: Shop Like a Billionaire,Shopping
ChatGPT,Productivity
SHEIN-Shopping Online,Shopping
Health Tracker,Health & Fitness
CapCut - Video Editor,Video Players & Editors
Tubi: Movies & Live TV,Entertainment
"Max: Stream HBO, TV, & Movies",Entertainment
"Threads, an Instagram app",Social
WhatsApp Business,Communication
Facebook,Social
Verificate24,News & Magazines
Instagram Lite,Social
Holy Bible - KJV+Verse,Books & Reference
TikTok Lite - Save Data,Social
X PhotoKit,Photography
Pinterest,Lifestyle
King Browser - Fast & Private,Tools
Mi Más,Productivity
"Canva: Design, Art & AI Editor",Art & Design
Duolingo: Language Lessons,Education
Control Center Simple,Personalization
"ViX: TV, Deportes y Noticias",Entertainment
Crunchyroll,Entertainment
inDrive. Save on city rides,Maps & Navigation
Yappy,Finance
Messenger,Communication
Microsoft Word: Edit Documents,Productivity
Free Fire,Games > Action
Roblox,Games > Adventure
"Document Reader: PDF, DOC, XLS",Productivity
Music Player & MP3 - DDMusic,Music & Audio
Alibaba.com - B2B marketplace,Shopping
Waze Navigation & Live Traffic,Maps & Navigation
Pizza Ready!,Games > Simulation
TickTock-TikTok Live Wallpaper,Tools
PedidosYa - Delivery Online,Food & Drink
Photoroom AI Photo Editor,Photography
Easy Math: AI Homework Helper,Education
Craft Box Game Tree,Games > Simulation
