App 이름,카테고리
Google Chrome,Communication
Messenger,Communication
Samsung One UI Home,Personalization
YouTube,Video Players & Editors
Facebook,Social
WhatsApp Messenger,Communication
Google,Tools
Instagram,Social
Google Messages,Communication
Google Maps,Travel & Local
Phone by Google,Tools
Gmail,Communication
Clock,Tools
Google Play services,Tools
TikTok,Social
Google Photos,Photography
Spotify: Music and Podcasts,Music & Audio
Allegro: shopping online,Shopping
Samsung Calendar,Productivity
Samsung Internet Browser,Communication
Samsung Calculator,Tools
Snapchat,Communication
OLX - ogłoszenia lokalne,Shopping
Google Drive,Productivity
Clock,Tools
Samsung Notes,Productivity
IKO,Finance
Google Calendar,Productivity
Clock,Tools
"Biedronka - Shakeomat, gazetki",Shopping
mBank PL,Finance
Weather & Radar,Weather
Lidl Plus,Shopping
Telegram,Communication
Contacts,Communication
Vinted - Buy and sell clothes,Shopping
Pinterest,Lifestyle
YouTube Music,Music & Audio
InPost Mobile,Shopping
Samsung My Files,Tools
AliExpress_US,Shopping
Google Translate,Tools
Bank Millennium,Finance
Moto Camera 3,Photography
"Discord: Talk, Chat & Hang Out",Communication
Moje ING mobile,Finance
Santander mobile,Finance
PeoPay,Finance
Flashscore,Sports
Yanosik antiradar & navigation,Maps & Navigation
