App 이름,카테고리
Supermarket Manager Simulator,Games > Simulation
Temu: Shop Like a Billionaire,Shopping
Retail Store Simulator,Games > Simulation
Lidl Plus,Shopping
MB WAY,Finance
"Threads, an Instagram app",Social
SHEIN-Shopping Online,Shopping
Waze Navigation & Live Traffic,Maps & Navigation
Autenticação Gov,Tools
Electronics Store Simulator 3D,Games > Simulation
WhatsApp Messenger,Communication
Pizza Ready!,Games > Simulation
QR Scanner - Barcode Reader,Productivity
Duolingo: Language Lessons,Education
TikTok,Social
ten ten,Social
id.gov.pt,Tools
Brawl Stars,Games > Action
Instagram,Social
Telegram,Communication
Fitness Gym Simulator Fit 3D,Games > Simulation
Booking.com: Hotels & Travel,Travel & Local
ChatGPT,Productivity
"Wood Nuts & Bolts, Screw",Games > Puzzle
Uber - Request a ride,Maps & Navigation
CapCut - Video Editor,Video Players & Editors
Bolt: Request a Ride,Maps & Navigation
Too Good To Go: End Food Waste,Food & Drink
"Revolut: Spend, Save, Trade",Finance
Worten,Shopping
SNS 24,Health & Fitness
Royal Match,Games > Puzzle
Microsoft Edge: AI browser,Communication
Block Blast!,Games > Puzzle
PDF Reader - PDF Viewer,Productivity
Roblox,Games > Adventure
Vinted - Buy and sell clothes,Shopping
McDonald's,Food & Drink
Samsung Smart Switch Mobile,Tools
O Meu Pingo Doce,Shopping
Google Wallet,Finance
Cartão Continente,Shopping
Health Tracker,Health & Fitness
Anda,Travel & Local
Health Kit,Health & Fitness
Wallapop - Sell & Buy,Shopping
Messenger,Communication
idealista,House & Home
Crunchyroll,Entertainment
Bolt Food: Delivery & Takeaway,Food & Drink
