App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
PDF Reader - PDF Viewer,Productivity
Daily Forecast: Weather&Radar,Weather
KFC Puerto Rico,Food & Drink
ATH Móvil,Finance
WhatsApp Messenger,Communication
SHEIN-Shopping Online,Shopping
TikTok,Social
Holy Bible - KJV+Verse,Books & Reference
X PhotoKit,Photography
Facebook,Social
Instagram,Social
Health Tracker: BP Monitor,Health & Fitness
Snapchat,Communication
Messenger,Communication
CESCO Digital,Lifestyle
All Email Connect,Communication
"Threads, an Instagram app",Social
Chatbot AI & Smart Assistant,Productivity
ChatGPT,Productivity
Neat Manager - AntiVirus,Tools
Ultimate Cleaner Pro,Tools
Brawl Stars,Games > Action
McDonald's Offers and Delivery,Food & Drink
AutoExpreso Móvil,Auto & Vehicles
King Browser - Fast & Private,Tools
NewsBreak: Local News & Alerts,News & Magazines
Notepad - Notes and Notebook,Tools
PDF Reader – PDF Viewer,Productivity
Royal Match,Games > Puzzle
"Wood Nuts & Bolts, Screw",Games > Puzzle
Health Kit,Health & Fitness
Sam's Club,Shopping
Pizza Ready!,Games > Simulation
Roblox,Games > Adventure
Telegram,Communication
All Email Login,Communication
Magic Merge: Infinite Alchemy,Games > Word
Crunchyroll,Entertainment
Netflix,Entertainment
Cyber Cleaner,Tools
Pinterest,Lifestyle
Block Blast!,Games > Puzzle
Microsoft Teams,Business
Magic Music Player,Entertainment
Galaxiga Arcade Shooting Game,Games > Arcade
All Email Access: AI Mails,Tools
CapCut - Video Editor,Video Players & Editors
Alibaba.com - B2B marketplace,Shopping
Mi Banco Mobile,Finance
