App 이름,카테고리
WhatsApp Messenger,Communication
Facebook,Social
YouTube,Video Players & Editors
imo-International Calls & Chat,Communication
Messenger,Communication
Google,Tools
Instagram,Social
Google Chrome,Communication
Samsung One UI Home,Personalization
TikTok,Social
WhatsApp Business,Communication
Phone by Google,Tools
Google Messages,Communication
Snapchat,Communication
Google Maps,Travel & Local
Clock,Tools
Telegram,Communication
imo beta -video calls and chat,Communication
SuperVPN Fast VPN Client,Tools
Google Play services,Tools
imo HD - Video Calls and Chats,Communication
Google Photos,Photography
MX Player,Video Players & Editors
Gmail,Communication
Facebook Lite,Social
Google Meet,Communication
Truecaller: Identify Caller ID,Communication
Samsung Calculator,Tools
Contacts,Communication
Google Translate,Tools
Google Drive,Productivity
Cricbuzz - Live Cricket Scores,Sports
Botim - Video and Voice Call,Communication
Clock,Tools
iTel Mobile Dialer Express,Communication
X,Social
CapCut - Video Editor,Video Players & Editors
Samsung Internet Browser,Communication
SmartCaller-Intelligence Calle,Communication
"noon Shopping, Food, Grocery",Shopping
Absher | أبشر,Productivity
PLAYit-All in One Video Player,Video Players & Editors
Samsung Calendar,Productivity
AI Gallery,Photography
Temu: Shop Like a Billionaire,Shopping
Calculator,Tools
stc pay,Finance
Likee - Short Video Community,Social
"PhonePe UPI, Payment, Recharge",Finance
SHEIN-Shopping Online,Shopping
