App 이름,카테고리
ten ten,Social
Mein dm,Shopping
Health Tracker,Health & Fitness
The Legend of Jaffa Brownie,Games > Adventure
Taktak,Communication
Uzmi račun i pobedi,Finance
SuperKartica,Shopping
Lidl Plus,Shopping
Brawl Stars,Games > Action
TikTok,Social
"Threads, an Instagram app",Social
WhatsApp Messenger,Communication
Hexa Sort,Games > Puzzle
MOL Move,Shopping
MOJ MAXI,Shopping
Joom. Shopping for every day,Shopping
Rakuten Viber Messenger,Communication
Pizza Ready!,Games > Simulation
Wolt Delivery: Food and more,Food & Drink
Instagram,Social
Block Blast!,Games > Puzzle
Duolingo: Language Lessons,Education
PDF Reader - PDF Viewer,Productivity
Telegram,Communication
Real Car Driving: Race City 3D,Games > Racing
Colorwood Sort Puzzle Game,Games > Puzzle
OMV MyStation u Srbiji,Travel & Local
AliExpress_US,Shopping
Lilly drogerie,Shopping
Blood Pressure App,Health & Fitness
Instagram Lite,Social
MapApp,Education
Yep,Tools
ChatGPT,Productivity
Roblox,Games > Adventure
ConsentID,Business
Messenger,Communication
Pinterest,Lifestyle
Yettel SRB,Communication
Subway Surfers,Games > Arcade
Craft Box Game Tree,Games > Simulation
QR & Barcode Reader,Productivity
Fashion&Friends,Shopping
Vape 'N Pod Trick Simulator,Games > Simulation
Snapchat,Communication
Music Player & MP3 - DDMusic,Music & Audio
Samsung Smart Switch Mobile,Tools
Car Race 3D: Car Racing,Games > Racing
Squad Busters,Games > Action
Penzionerska kartica,News & Magazines
