App 이름,카테고리
Clubcard Tesco Slovakia,Shopping
Allegro: shopping online,Shopping
Temu: Shop Like a Billionaire,Shopping
Trendyol - Online Alışveriş,Shopping
Packeta,Business
Hexa Sort,Games > Puzzle
SHEIN-Shopping Online,Shopping
Brawl Stars,Games > Action
WhatsApp Messenger,Communication
QR & Barcode Scanner,Tools
Lidl Plus,Shopping
VÚB Banking,Finance
TunnelBear VPN,Tools
TikTok,Social
"Threads, an Instagram app",Social
Tatra banka,Finance
Bebbo parenting app,Parenting
weather24: Forecast & Radar,Weather
Zen Word® - Relax Puzzle Game,Games > Word
Pizza Ready!,Games > Simulation
Piano Pink Tiles,Games > Music
Voyo.sk,Entertainment
Block Blast!,Games > Puzzle
TIPOS,Entertainment
Action,Shopping
Instagram,Social
Kaufland - Shopping & Offers,Shopping
Sinsay - moda i zakupy online,Shopping
"Wood Nuts & Bolts, Screw",Games > Puzzle
Messenger,Communication
Reserved,Shopping
VšZP,Medical
Telekom,Productivity
Bolt: Request a Ride,Maps & Navigation
Vehicle Masters,Games > Simulation
Mein dm,Shopping
"Revolut: Spend, Save, Trade",Finance
Google Wallet,Finance
GLS Slovakia,Business
Duolingo: Language Lessons,Education
Dôvera,Health & Fitness
Race Master 3D - Car Racing,Games > Racing
ABOUT YOU Outlet,Shopping
Samsung Smart Switch Mobile,Tools
Tower War - Tactical Conquest,Games > Arcade
Facebook,Social
ChatGPT,Productivity
TABI: Detská banková aplikácia,Finance
Snapchat,Communication
CapCut - Video Editor,Video Players & Editors
