App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
ten ten,Social
MOL Move Slovenija,Business
SPAR plus,Shopping
Lidl Plus,Shopping
Brawl Stars,Games > Action
MOJ M,Shopping
Hexa Sort,Games > Puzzle
Samsung Smart Switch Mobile,Tools
Müller,Shopping
"Threads, an Instagram app",Social
WhatsApp Messenger,Communication
Petrol GO,Auto & Vehicles
Google Wallet,Finance
Tower War - Tactical Conquest,Games > Arcade
TikTok,Social
SHEIN-Shopping Online,Shopping
ChatGPT,Productivity
eOsebna,Tools
Pizza Ready!,Games > Simulation
mojAsistent za starše - šole,Education
Coca-Cola: Play & Win Prizes,Lifestyle
Zalando – online fashion store,Shopping
Block Blast!,Games > Puzzle
Piano Pink Tiles,Games > Music
Notino: perfumes and cosmetics,Shopping
Mein dm,Shopping
Flik Pay,Finance
"Revolut: Spend, Save, Trade",Finance
Microsoft Authenticator,Business
PDF Reader - PDF Viewer,Productivity
QR & Barcode Scanner,Tools
EasyPark - Parking made easy,Travel & Local
ABOUT YOU Outlet,Shopping
ABOUT YOU Online Fashion Shop,Shopping
"Wood Nuts & Bolts, Screw",Games > Puzzle
Rakuten Viber Messenger,Communication
Duolingo: Language Lessons,Education
QR & Barcode Reader,Productivity
Tipli,Shopping
Wolt Delivery: Food and more,Food & Drink
NLB Klik Slovenia,Finance
NLB Pay Slovenija,Finance
Telegram,Communication
Instagram,Social
Snapchat,Communication
Booking.com: Hotels & Travel,Travel & Local
Vehicle Masters,Games > Simulation
Race Master 3D - Car Racing,Games > Racing
Lidl - Offers & Leaflets,Shopping
