App 이름,카테고리
WOW Superapp,Lifestyle
WhatsApp Business,Communication
Messenger,Communication
Facebook,Social
WhatsApp Messenger,Communication
TikTok,Social
CapCut - Video Editor,Video Players & Editors
Facebook Lite,Social
TikTok Lite - Save Data,Social
AliExpress_US,Shopping
Snapchat,Communication
MyDialog,Communication
PickMe (Sri Lanka),Travel & Local
Helakuru Superapp - Sri Lanka,Lifestyle
Health Tracker,Health & Fitness
imo-International Calls & Chat,Communication
BeautyPlus-AI Photo/Video Edit,Photography
Telegram,Communication
"SHAREit: Transfer, Share Files",Tools
Social Recovery,Tools
Zoom Workplace,Business
Alibaba.com - B2B marketplace,Shopping
Instagram,Social
Daraz Online Shopping App,Shopping
FriMi,Finance
BOC Smart Passbook,Finance
Carrom Pool: Disc Game,Games > Sports
Google Translate,Tools
Helakuru Lite - Keyboard Only,Lifestyle
PDF Reader - PDF Viewer,Productivity
Crunchyroll,Entertainment
AirBrush - AI Photo Editor,Photography
Lightroom Photo & Video Editor,Photography
Bank of Ceylon Mobile Banking,Finance
BOC  SmartPay,Finance
Free Fire,Games > Action
Truecaller: Identify Caller ID,Communication
Temple Run 2,Games > Action
ikman - Everything Sells,Shopping
People's Pay,Finance
MyExams: Past Papers Sri Lanka,Education
Hutch App,Communication
Mobitel Selfcare,Productivity
Duolingo: Language Lessons,Education
Pizza Ready!,Games > Simulation
Candy Crush Saga,Games > Casual
Stunt Bike Extreme,Games > Racing
YouTube Kids,Entertainment
QR & Barcode Scanner,Tools
Payclick,Tools
