App 이름,카테고리
KNY台灣天氣.地震速報,Weather
奇蹟MU：無限金蛋,Games > Role Playing
道天錄-種田修仙 自在經營,Games > Simulation
DPIP 防災資訊整合平台 - 災害天氣、地震速報,Weather
中央氣象署E - 地震測報,Weather
Fun Drama,Entertainment
異世界奇妙生活-送2500抽,Games > Simulation
Coupang 酷澎 — 現領首購 7 折優惠,Shopping
Best Fiends - Match 3 Puzzles,Games > Casual
"Threads, an Instagram app",Social
這梗不一樣,Games > Puzzle
아스달 연대기: 세 개의 세력,Games > Role Playing
全明星街球派對,Games > Sports
小勇者阿瑪-送6666抽,Games > Role Playing
McDonald's,Food & Drink
Pirates of the Caribbean: ToW,Games > Strategy
湮滅：邊界線,Games > Strategy
Weather Forecast - Live Radar,Weather
TikTok,Video Players & Editors
Weather: Live radar & widgets,Weather
Super Detective,Games > Puzzle
小红书 – 你的生活指南,Social
Block Blast!,Games > Puzzle
ShortTube,Entertainment
Google Gemini,Productivity
臺灣銀行 臺銀行動+,Finance
"Wood Nuts & Bolts, Screw",Games > Puzzle
LINE: Calls & Messages,Communication
Reel Rocket,Entertainment
蝦皮購物 | 花得更少買得更好,Shopping
ChatGPT,Productivity
劍俠世界:起源,Games > Role Playing
台灣大哥大行動客服,Productivity
Earthquakes,News & Magazines
女神異聞錄：夜幕魅影,Games > Role Playing
Genshin Impact,Games > Adventure
Bubble Player - Videos & Music,Video Players & Editors
高速收費站,Games > Simulation
Agoda: Cheap Flights & Hotels,Travel & Local
Earthquake Alert,Tools
momo購物 l 生活大小事都是momo的事,Shopping
55688 台灣大車隊,Maps & Navigation
台語金曲 - 台語流行歌曲、台語老歌金曲,Music & Audio
SHEIN-Shopping Online,Shopping
Samsung Smart Switch Mobile,Tools
Google Translate,Tools
Yahoo奇摩 - 每日新聞生活情報入口,News & Magazines
沙雕日記,Games > Casual
Instagram,Social
Whoscall - Caller ID & Block,Communication
