App 이름,카테고리
Facebook,Social
Google Chrome,Communication
LINE: Calls & Messages,Communication
Messenger,Communication
YouTube,Video Players & Editors
Samsung One UI Home,Personalization
Google,Tools
TikTok,Video Players & Editors
Google Maps,Travel & Local
Instagram,Social
Shopee 5.5 Coin Rebate Party,Shopping
Google Play services,Tools
Gmail,Communication
Clock,Tools
WhatsApp Messenger,Communication
K PLUS,Finance
Lazada,Shopping
Google Messages,Communication
X,Social
Google Photos,Photography
SCB EASY,Finance
Google Translate,Tools
Telegram,Communication
Clock,Tools
Samsung Internet Browser,Communication
Spotify: Music and Podcasts,Music & Audio
Whoscall - Caller ID & Block,Communication
Samsung Calculator,Tools
Grab - Taxi & Food Delivery,Travel & Local
Phone by Google,Tools
TrueMoney,Finance
Samsung Calendar,Productivity
Pure Tuber: Video & MP3 Player,Video Players & Editors
Google Drive,Productivity
Krungthai NEXT,Finance
dtac,Lifestyle
Samsung Notes,Productivity
Google Calendar,Productivity
Heytap Pictorial,Tools
"Discord: Talk, Chat & Hang Out",Communication
7-Eleven TH,Lifestyle
YouTube Music,Music & Audio
Bangkok Bank Mobile Banking,Finance
Facebook Lite,Social
CapCut - Video Editor,Video Players & Editors
Internet Browser,Tools
Clock,Tools
Netflix,Entertainment
Rakuten Viber Messenger,Communication
Microsoft Outlook,Productivity
