App 이름,카테고리
Duolingo: Language Lessons,Education
TikTok,Social
Invent Life Marketplace,Shopping
Snapchat,Communication
Instagram,Social
"Threads, an Instagram app",Social
WhatsApp Messenger,Communication
SHEIN-Shopping Online,Shopping
PDF Reader - PDF Viewer,Productivity
Health Tracker,Health & Fitness
Temu: Shop Like a Billionaire,Shopping
CapCut - Video Editor,Video Players & Editors
Instagram Lite,Social
Microsoft Teams,Business
Heaven Soul Mates,Communication
Roblox,Games > Adventure
DramaBox - Stream Drama Shorts,Entertainment
Crunchyroll,Entertainment
Proxy Browser,Tools
Traffic Escape!,Games > Puzzle
APNA TUNNEL,Tools
Words of Wonders: Crossword,Games > Word
Stark VPN Reloaded,Tools
FilmPro,Entertainment
ABCmouse – Kids Learning Games,Education
"Wood Nuts & Bolts, Screw",Games > Puzzle
Facebook,Social
RepublicMobile TT,Finance
Instabridge: WiFi Password Map,Productivity
Messenger,Communication
Telegram,Communication
Alibaba.com - B2B marketplace,Shopping
Zoom Workplace,Business
Craft Box Game Tree,Games > Simulation
Pizza Ready!,Games > Simulation
Psiphon Pro,Communication
X PhotoKit,Photography
My Perfect Hotel,Games > Arcade
Pinterest,Lifestyle
Thesis,Entertainment
Audiomack: Music Downloader,Music & Audio
TapByte Net Proxy,Tools
Tower War - Tactical Conquest,Games > Arcade
Race Master 3D - Car Racing,Games > Racing
Block Blast!,Games > Puzzle
ChatGPT,Productivity
HA Tunnel Plus,Tools
"Max: Stream HBO, TV, & Movies",Entertainment
Music Player & MP3 - DDMusic,Music & Audio
Doomsday: Last Survivors,Games > Strategy
