App 이름,카테고리
Temu: Shop Like a Billionaire,Shopping
Sinsay - moda i zakupy online,Shopping
Telegram,Communication
TikTok,Social
Privat24,Finance
My Kyivstar: mobile services,Communication
WhatsApp Messenger,Communication
VPN Proxy Master - Safer Vpn,Tools
Health Tracker,Health & Fitness
Pizza Ready!,Games > Simulation
Nova poshta,Business
Brawl Stars,Games > Action
Дія,Social
Grand Mobile - гонки и суета,Games > Simulation
Повітряна тривога,Social
TikTok Lite - Save Data,Social
"Wood Nuts & Bolts, Screw",Games > Puzzle
Rakuten Viber Messenger,Communication
Cryptogram Words Master,Games > Word
Tower War - Tactical Conquest,Games > Arcade
Skizz - Lockscreen Drawing,Personalization
Getcontact,Communication
Helsi,Medical
Instagram,Social
MyRaif,Finance
Hexa Sort,Games > Puzzle
Craft Box Game Tree,Games > Simulation
AliExpress_US,Shopping
PUMB Online,Finance
My Vodafone Ukraine,Tools
Tabletki.ua: пошук ліків,Medical
Tomorrow,Games > Action
Ощад,Finance
monobank — банк у телефоні,Finance
VPN - fast proxy + secure,Tools
QR Scanner - Barcode Reader,Productivity
ChatGPT,Productivity
QR & Barcode Scanner,Tools
OLX.ua: Classifieds of Ukraine,Shopping
Roblox,Games > Adventure
АБанк24 - Просто.Швидко.Чесно.,Finance
Prom.ua — інтернет-покупки,Shopping
"Kyivstar TV: HD movie, cartoon",Entertainment
Subway Surfers,Games > Arcade
Joom. Shopping for every day,Shopping
Block Blast!,Games > Puzzle
Goose. Prizes for all,Games > Arcade
Pinterest,Lifestyle
Instagram Lite,Social
Turbo VPN - Secure VPN Proxy,Tools
