App 이름,카테고리
WhatsApp Messenger,Communication
Facebook,Social
YouTube,Video Players & Editors
Google,Tools
Google Chrome,Communication
Instagram,Social
Samsung One UI Home,Personalization
TikTok,Social
WhatsApp Business,Communication
Temu: Shop Like a Billionaire,Shopping
Phone by Google,Tools
Messenger,Communication
Botim - Video and Voice Call,Communication
Google Messages,Communication
imo-International Calls & Chat,Communication
Gmail,Communication
Clock,Tools
Google Maps,Travel & Local
Snapchat,Communication
Telegram,Communication
Google Photos,Photography
Google Play services,Tools
Samsung Calculator,Tools
MX Player,Video Players & Editors
Google Drive,Productivity
Contacts,Communication
TeraBox: Cloud Storage Space,Tools
Facebook Lite,Social
Samsung Internet Browser,Communication
imo HD - Video Calls and Chats,Communication
Clock,Tools
Google Translate,Tools
CapCut - Video Editor,Video Players & Editors
Samsung Calendar,Productivity
Samsung Notes,Productivity
"noon Shopping, Food, Grocery",Shopping
Samsung My Files,Tools
Global Search,Tools
Secure VPN－Safer Internet,Tools
Truecaller: Identify Caller ID,Communication
Files by Google,Tools
Spotify: Music and Podcasts,Music & Audio
Google Calendar,Productivity
PLAYit-All in One Video Player,Video Players & Editors
Gulf Super VPN,Tools
My Etisalat UAE,Productivity
OnePlus Gallery,Photography
X,Social
Microsoft Outlook,Productivity
Heytap Pictorial,Tools
