App 이름,카테고리
Identidad Digital Abitab,Finance
TikTok,Social
PDF Reader - PDF Viewer,Productivity
WhatsApp Messenger,Communication
"Max: Stream HBO, TV, & Movies",Entertainment
Mercado Libre: Compras online,Shopping
"Threads, an Instagram app",Social
UTE Clientes,Business
CapCut - Video Editor,Video Players & Editors
Instagram,Social
Star+,Entertainment
Copa America Panini Collection,Games > Sports
ChatGPT,Productivity
"Canva: Design, Art & AI Editor",Art & Design
Royal Match,Games > Puzzle
Pizza Ready!,Games > Simulation
Facebook,Social
Roblox,Games > Adventure
Instagram Lite,Social
X PhotoKit,Photography
Prex Uruguay,Finance
King Browser - Fast & Private,Tools
Free Fire,Games > Action
Telegram,Communication
Pinterest,Lifestyle
TikTok Lite - Save Data,Social
Daily Forecast: Weather&Radar,Weather
Duolingo: Language Lessons,Education
QR & Barcode Scanner,Tools
App eBROU,Finance
Messenger,Communication
"Wood Nuts & Bolts, Screw",Games > Puzzle
Facebook Lite,Social
Chatbot AI & Smart Assistant,Productivity
Brawl Stars,Games > Action
Doomsday: Last Survivors,Games > Strategy
WhatsApp Business,Communication
Subway Surfers,Games > Arcade
Crunchyroll,Entertainment
Disney+,Entertainment
Pluto TV: Watch TV & Movies,Entertainment
Mercado Pago: cuenta digital,Finance
"happn: Dating, Chat & Meet",Lifestyle
Midinero App,Finance
Moovit: Bus & Train Schedules,Maps & Navigation
Moto Wheelie 3D,Games > Simulation
Spotify: Music and Podcasts,Music & Audio
Netflix,Entertainment
MiAntel,Communication
My Perfect Hotel,Games > Arcade
