App 이름,카테고리
Telegram,Communication
Instagram,Social
Payme,Finance
aka,Communication
WhatsApp Messenger,Communication
Telegram X,Social
Uzum Market: Shopping app,Shopping
Instagram Lite,Social
Soliq,Finance
Click Up,Finance
AVO — onlayn bank,Finance
Agrobank Mobile,Finance
Snapchat,Communication
Plus Messenger,Communication
xazna,Finance
TBC UZ: Online Mobile Banking,Finance
Subway Surfers,Games > Arcade
Paynet — o'tkazing va to'lang,Finance
CapCut - Video Editor,Video Players & Editors
Pizza Ready!,Games > Simulation
Graph Messenger,Communication
Uzum Nasiya: рассрочка товаров,Finance
TikTok,Social
Stickman Party 2 3 4 MiniGames,Games > Arcade
Yandex Go — taxi and delivery,Maps & Navigation
Special Forces Group 2,Games > Action
Health Tracker,Health & Fitness
SHAREit Lite - Fast File Share,Productivity
MyGov,Tools
OLX Classifieds of Uzbekistan,Shopping
PUBG MOBILE,Games > Action
Avtoelon.uz - авто объявления,Auto & Vehicles
"Thunder VPN - Fast, Safe VPN",Tools
Road24 Jarimalar Tekshirish,Auto & Vehicles
Alif Mobi: pay and transfer,Finance
Anorbank,Finance
Car Race 3D: Car Racing,Games > Racing
Beeline Uzbekistan,Business
Ibrat Academy,Education
Music Player & MP3 - DDMusic,Music & Audio
Build A Car: Car Racing,Games > Simulation
"ContraCam - Speed Cameras, HUD",Maps & Navigation
Football League 2024,Games > Sports
Yandex Navigator,Travel & Local
Payback 2 - The Battle Sandbox,Games > Arcade
Massive Warfare: Tanks PvP War,Games > Action
QR & Barcode Scanner,Tools
Uklon - More Than a Taxi,Travel & Local
WhatsApp Business,Communication
"SHAREit: Transfer, Share Files",Tools
